iter	Passed	Remaining
0	23	11507
1	44	11098
2	66	10937
3	94	11734
4	122	12143
5	148	12258
6	179	12656
7	208	12810
8	236	12901
9	265	13011
10	292	12996
11	319	12983
12	349	13080
13	379	13184
14	403	13048
15	436	13199
16	471	13383
17	499	13368
18	531	13455
19	565	13565
20	598	13650
21	632	13751
22	668	13865
23	703	13958
24	736	13993
25	764	13936
26	800	14017
27	829	13980
28	859	13965
29	886	13895
30	922	13950
31	961	14063
32	989	14007
33	1018	13955
34	1054	14007
35	1081	13939
36	1107	13860
37	1136	13820
38	1157	13684
39	1181	13584
40	1205	13494
41	1231	13430
42	1255	13340
43	1282	13292
44	1305	13203
45	1329	13124
46	1354	13051
47	1380	12995
48	1411	12991
49	1437	12939
50	1477	13008
51	1523	13122
52	1557	13139
53	1586	13100
54	1613	13053
55	1652	13101
56	1681	13069
57	1706	13003
58	1748	13072
